movie_name,ranking,score,score_num
肖申克的救赎,1,9.7,3214156人评价
霸王别姬,2,9.6,2372358人评价
泰坦尼克号,3,9.5,2440769人评价
阿甘正传,4,9.5,2383567人评价
千与千寻,5,9.4,2482314人评价
美丽人生,6,9.5,1453073人评价
这个杀手不太冷,7,9.4,2507718人评价
星际穿越,8,9.4,2119316人评价
盗梦空间,9,9.4,2278325人评价
楚门的世界,10,9.4,1965642人评价
辛德勒的名单,11,9.5,1225143人评价
忠犬八公的故事,12,9.4,1516258人评价
海上钢琴师,13,9.3,1845044人评价
疯狂动物城,14,9.2,2209781人评价
三傻大闹宝莱坞,15,9.2,2037746人评价
放牛班的春天,16,9.3,1445184人评价
机器人总动员,17,9.3,1456305人评价
无间道,18,9.3,1529503人评价
控方证人,19,9.6,684953人评价
大话西游之大圣娶亲,20,9.2,1678352人评价
熔炉,21,9.3,1018634人评价
触不可及,22,9.3,1264924人评价
寻梦环游记,23,9.1,1925807人评价
教父,24,9.3,1080354人评价
当幸福来敲门,25,9.1,1657626人评价
末代皇帝,26,9.3,1004545人评价
哈利·波特与魔法石,27,9.2,1384606人评价
龙猫,28,9.2,1386043人评价
活着,29,9.3,948888人评价
怦然心动,30,9.1,2012516人评价
蝙蝠侠：黑暗骑士,31,9.2,1170407人评价
指环王3：王者无敌,32,9.3,891256人评价
我不是药神,33,9.0,2310854人评价
乱世佳人,34,9.3,774729人评价
飞屋环游记,35,9.1,1467008人评价
让子弹飞,36,9.0,1884637人评价
哈尔的移动城堡,37,9.1,1256859人评价
十二怒汉,38,9.4,563211人评价
素媛,39,9.3,761583人评价
海蒂和爷爷,40,9.3,751194人评价
猫鼠游戏,41,9.1,1177819人评价
天空之城,42,9.2,988959人评价
鬼子来了,43,9.3,700774人评价
摔跤吧！爸爸,44,9.0,1714127人评价
少年派的奇幻漂流,45,9.1,1465506人评价
钢琴家,46,9.3,732260人评价
指环王2：双塔奇兵,47,9.2,838824人评价
死亡诗社,48,9.2,853402人评价
大话西游之月光宝盒,49,9.0,1339169人评价
何以为家,50,9.1,1144844人评价
闻香识女人,51,9.1,1000695人评价
绿皮书,52,8.9,1851342人评价
大闹天宫,53,9.4,497722人评价
黑客帝国,54,9.1,929591人评价
指环王1：护戒使者,55,9.1,939876人评价
